0.0001316814+0.0003142221i,-0.0002796135+0.0002792703i,-0.000961312+0.0008221177i,-0.0004038632-6.40622e-05i,0.0005699214-0.0007218045i,0.0002345225-0.001027425i,0.0007378975+0.0003559676i,0.0006631783-0.0001622274i,0+0i,-0.001172583+0.0002370706i,-0.001654679+0.0002630855i,-0.001013895-0.000881589i,0.001681163-0.0005567381i,0.001152468+0.001221941i,0.0003878597+0.001616858i,0.0002561521+0.0002046275i,-0.00065098-7.079172e-06i,-0.001282773-0.0009532864i,-0.0005445589-2.25497e-05i,0.0005013146+8.119035e-05i,0.0002405863+0.0009660444i,-0.0001720848+0.002135498i,-0.0006762904+0.0009243686i,-0.0009093667+0.001659011i,-0.001825103+0.0006583582i,-0.001235363+0.001392034i,-0.001678872+0.00135775i,-0.0007896622+0.001125597i,0.0001133644+0.001669129i,0.0003541655+0.002020843i,0.001530742+0.0009986283i,0.001597804+0.0008268172i,0.0005497017-0.0005703153i,-2.372974e-05-0.0005568053i,0.0003200692+0.0003309077i,-0.0008564295+6.932274e-05i,0.0005720005+0.0001137172i,0.0007019595-0.0009972107i,-0.001294412-0.001160076i,-0.001962872-7.196509e-05i,0.0007463515+0.000783539i,0.001621248+0.0003289225i,0.0006973146-0.001332299i,-0.0007781644-0.001784675i,-0.0006453812-3.44793e-05i,0.00120738-0.0001866552i,0.001774127-0.001836917i,-0.000339551-0.0006785587i,-0.0008734243-0.0001994218i,-0.0003239681+0.001331172i,-0.0005729367-0.0009751501i
0.0004302898+0.0004187999i,-0.0002240537-0.0002821987i,-0.0003995839-0.0008410797i,0.0008443101-0.0006280594i,0.0004752108-1.473254e-07i,-9.589428e-05-0.000316431i,-0.0003228671-0.0001390885i,-0.000628776+0.001805124i,-0.001434646+0.000981354i,-0.0001381709-0.001416084i,0.00120634-0.001407825i,0.001517131-0.0007649638i,0.0001227522+0.001330223i,-0.00124665+0.0007598225i,-0.002092054-0.000370154i,-0.0004818586-0.001716337i,0.0005419301-0.001724256i,9.914368e-05-0.0004358879i,0.0003400148+0.0009387596i,-0.0003234485+0.0006767966i,-0.0007214283+0.0006081455i,-0.0007916987-0.001576032i,-0.0009289231-0.001525691i,-0.0004297511-0.001778957i,0.0002599234-0.001430593i,-0.001105016-0.002276276i,0.001135466-0.002288934i,-0.0006342308-0.001253842i,-0.001117098-0.001145988i,-0.001299635-0.000420662i,-0.0009905386-0.0002001773i,-0.001064659+0.0007705856i,-0.0002165347+0.0002738542i,2.67061e-05-0.0007449924i,-0.0001169815+0.0003838006i,-0.001307306+0.0005752559i,-0.0001763969+8.559886e-05i,0.002420789+0.001106181i,0.0003775358-0.0008746066i,-5.479355e-06-0.002156782i,-0.002467173-0.00033483i,-0.001405674+0.002216624i,0.001146982+0.0006282201i,0.0006503991-0.0008454259i,-0.0003820418-0.001771557i,-0.0008603454+0.001672987i,0.0006201828+0.001695051i,0.0001238062-0.0009009448i,-0.0003337284-0.001157538i,-0.0003228649+0.0001084881i,0.0001167116+0.0009710135i
-0.0009349172+0.001286089i,-0.000178416-0.0006998545i,0.000515687-0.0003310335i,0.001457845+0.001247045i,-0.0007005298-0.0001924281i,0.0005986104+0.001565161i,-0.0007559001-0.001088513i,0.0003188327-0.001843903i,0.000484993-0.0006073728i,0.001957207+0.0004740256i,-0.0001730358+0.001260147i,-0.001289023+0.001989264i,-0.001415931-1.634716e-05i,-0.0006078712-0.001514888i,5.630339e-05-0.001678021i,0.0006198845-0.001320195i,0.001113602+0.0001783032i,-0.0001187139+0.001271312i,0.0005270686+0.001820293i,-0.0007738249+0.0002482808i,0.0008473784+0.0002107719i,0.001327646-0.0004846306i,0.001171805-0.0001594071i,0.0006948918+0.001084571i,0.001079054+0.001630169i,0.001247015+0.001155099i,0.001092372+0.002115237i,0.001731848-8.281976e-06i,0.001793203+0.0005407003i,0.001776817-0.0006855752i,0.0005170007-0.001055062i,-0.0006926266-0.001678303i,0.0001376692-8.366396e-05i,0.0004680927+5.174634e-05i,-0.0007055289-0.0008067672i,8.053479e-05-0.0003291205i,-0.0002283711-0.000272305i,-0.0005696825+0.0003522529i,0.000825362+0.0001688065i,0.001270144+0.0007890389i,0.001023674-0.00114211i,-0.001017993-0.00174719i,-0.001402494+0.0007270348i,8.483523e-05+0.0009053514i,0.0008990575+0.0003858312i,-0.0004263832-0.0005980371i,-0.0002442437-0.0001992647i,0.00150929-0.000550593i,0.000231811-0.0003497407i,-0.001232173+0.0001295951i,-4.619499e-05-0.0003758743i
-0.0004353832-0.0002094972i,0.0005755453+0.0001861531i,0.0005027452-4.408326e-05i,-0.0007623843+0.0008791037i,0.000200236-0.0006661816i,-0.0001744355-0.0003212921i,-0.0005294911+0.0003205214i,-0.0002268277+0.0005536503i,-6.42007e-06+0.0004627782i,-0.0003534099+0.0006364604i,-0.00161585+0.0004878755i,-0.00143263-0.0002276345i,0.0006621433-0.001288218i,0.002089128-0.0004844331i,0.001139309+0.0003664221i,-0.0001982544+0.001384307i,-0.002340971+0.0006096277i,-0.0008361747+4.139943e-06i,-0.0003434499-9.383422e-05i,0.0006057755+0.0003176278i,-0.000823411-0.0003964595i,5.029201e-06+0.0003555659i,-0.0001764245+0.0007800431i,-0.002212297-8.226695e-05i,-0.002462661+0.0001184084i,-0.002489877+0.0001106264i,-0.003024422+0.0005693099i,-0.001702219+0.001719091i,-0.001034676+0.001712846i,0.0001785433+0.00120773i,0.0005958868-0.0002507336i,0.001271575-0.0009734288i,0.0001499307-6.565895e-05i,0.0001953455+0.0002684567i,-0.0007233034+0.001019537i,0.0007996504+0.0003940682i,0.0001609821-0.001602975i,-0.0003649677-0.0009205985i,-0.0004359391+0.0002157508i,0.0003072658+0.0008765644i,0.002159108+0.0003230442i,0.0007367929-0.001092857i,-0.001059438-0.001539805i,-0.0007410417+0.0003290618i,-0.0004392931-0.0001829821i,0.000472153-3.460112e-05i,-0.0003753428+0.0003936506i,-0.0007542158+8.078676e-05i,-0.0001686361+5.808153e-05i,0.0008330458-0.0006653664i,0.0002358995-0.0009740678i
0.0005925394-0.001283394i,0.000594525-5.070394e-05i,-0.0009764372-0.0003111851i,0.000515635-0.0002674173i,0.0009150981-5.715623e-05i,1.970571e-05+0.0009659065i,9.111462e-05+0.0003129599i,-0.0002935209-0.0001962536i,-0.0007956594-4.255778e-05i,-0.001320676-0.0006962502i,-0.0004426312-0.0009691637i,0.001979629-0.00158967i,0.001773524-0.0006664749i,0.0006444948+0.002119688i,-0.001997933+0.0007367841i,-0.001263979-0.0002084922i,-1.652753e-05-0.001959737i,0.0002972383-0.001173611i,0.0004658615-0.0009331796i,0.0003733322-0.0002927662i,-0.000169783+0.0006810676i,9.939153e-05+0.0003497048i,0.0001513129-0.0003102756i,-0.001117015-0.0005641406i,0.0009996721-0.001682744i,0.001456205-0.002376874i,0.0003339225-0.002820287i,0.0001232477-0.001608055i,-0.0005955289-0.003052584i,-0.001800624-0.000939489i,-0.001619506-0.001549351i,-0.0005541624-0.0001286449i,0.0007494096+0.0006410312i,0.000380187-0.0009650697i,-0.001188668-9.075412e-05i,-0.0008436855+0.001001481i,0.001523042+0.0009135308i,0.001558615-0.0006918828i,-0.000293482-0.000257828i,-0.0009470807-0.0004525533i,-0.0006586506+0.0006966947i,0.000815922+0.0009775282i,0.0007252033-0.0004318071i,0.00154469-0.000314464i,1.202792e-05-0.0003511152i,-0.0003921842-0.0005713991i,-0.0009330484+0.000236589i,-0.0002827329+0.0005822623i,-0.0001994993-2.653311e-05i,0.0005552044-0.0003619121i,0.0002122116-0.0002808674i
0.0005013818+0.0004018336i,-0.0009428904+0.0004778749i,-0.0003982641-0.0006670622i,0.0007223293-0.0008212296i,0.0007197669+0.000348872i,-0.0001311446+0.0003396776i,-0.0008444258-7.674792e-05i,-0.0002159243-0.0005810502i,-0.0006068995-0.001115433i,0.0004477848-0.001125812i,0.001559373-0.0007051249i,0.0006613209+0.001749006i,-0.001188569+0.001788721i,-0.001985411-0.001009114i,0.0003158252-0.002511514i,0.001343025-0.001295271i,0.001008481+0.001562375i,0.0003097063+0.0001705398i,-0.0006321381-0.0001238217i,-0.0006733673+7.45277e-05i,-0.0006818163-6.271039e-05i,0.0002516935+0.0002255298i,0.0001866133+0.002687743i,0.001303772+0.002466038i,0.001947751+0.002260247i,0.001857218+0.001421493i,0.001856106+0.00129628i,0.001535129+0.001560381i,0.001267358-0.0005735565i,0.002122955-0.0006697567i,0.0002817712-0.001063035i,-0.0007440405-0.0002690325i,-0.0006835474-0.0003218405i,0.0008601562+0.0009103704i,0.0005453824-0.0001595442i,0.001130954-0.0006931829i,-0.0007405879-0.0004098549i,-0.0005304911+0.002538886i,0.0009565999+0.001143351i,0.002025041-0.001065995i,0.0002531529-0.001496367i,-0.0002523432+0.0005864014i,-0.0002749048+0.0004056315i,-0.0002364546+0.0002222358i,0.0006795034-0.0001432851i,0.0003992771-8.094915e-05i,-0.0009674835-0.001002415i,-0.0006631748-0.0006508408i,-0.0006727935+2.485857e-05i,0.000280189+0.001030804i,0.0006714134-0.0007658016i
-0.0006736736+0.0001506091i,-0.0006002865-0.0004132764i,0.00127062-0.0005810456i,-0.0005118285-8.144043e-05i,-0.0007219908-0.0005293569i,-0.0007706641+0.0003818794i,0.0003961876-6.826142e-05i,0.0009132291+0.000381114i,0.00015475+0.000796569i,0.0002900738+0.0001227957i,0.0002571432+9.430921e-05i,-0.000933821+0.0003554922i,-0.001265664-2.977422e-05i,-7.637922e-05-0.0008470622i,0.0007607007+0.001303864i,4.594932e-05+0.002480872i,-0.002087103+0.001966241i,-0.002783957-7.366235e-05i,-0.0002156955-0.001418692i,0.0005702701-0.001012814i,0.0008549195-0.0005209477i,-0.0006919376-0.001131456i,-0.001647098+0.000823784i,-0.002929684+0.0005289644i,-0.003277801+0.000190654i,-0.003449078-3.178877e-05i,-0.002525232+0.001393056i,-0.002247259+0.001884478i,-5.466022e-05+0.002348554i,0.0005042604+0.001280442i,0.001138899+0.0008969905i,0.0003585011+2.625291e-05i,-0.0001780858-0.0009251932i,-0.001443944+0.0007702265i,0.0001566453+0.001403296i,0.001418899+0.002135703i,-0.0001082207-0.002152382i,0.0001701265-0.001550205i,-0.0009461638+0.001539612i,-0.001188584+0.001197308i,0.001449676+0.0006778626i,0.000911775-0.001362498i,0.000454594-0.0006389233i,-0.0006560524+0.0004275095i,-0.0002987854+0.000212156i,0.0005870736+0.0002958441i,0.0002581655-0.001022844i,-0.0004687291-0.0007672682i,0.0002823504+0.0004062772i,-0.0007808355+0.0002607914i,-0.0005214515+3.96185e-05i
4.212109e-05-0.0009159782i,-0.0003840872-0.000905089i,-8.18125e-06-0.0004383971i,-0.000502922+0.00028494i,-0.0003385998-0.001222138i,0.0004507469+3.086927e-05i,0.0005629694+0.001100977i,6.568481e-05+0.001568764i,-0.0005781426-0.0004271206i,-0.00050209-0.0001907008i,-0.0002307462-0.0002809116i,-0.0006250143+0.00080212i,0.001147781-0.0004406701i,-0.0004721431+0.0007358402i,-0.002111518+0.001349691i,-0.002859213-0.0006435969i,-0.000915968-0.003939052i,0.0013075-0.003938142i,0.00227284-0.0001217166i,0.001280414+0.001071735i,-0.0008075908+0.001503023i,-0.001251778+5.665968e-05i,-0.001037521-0.001513483i,-0.0001470133-0.003544385i,-0.0004599984-0.002565989i,-0.0007610019-0.002936086i,-0.001352095-0.002321057i,-0.001325339-0.00146949i,-0.00136145-0.0006464625i,-0.0008987438+0.0009033428i,-0.0004929998+0.002747346i,0.001092551+0.001999649i,0.001034953-0.002362798i,-0.0008683215-0.001304806i,-0.002306477+0.0001290335i,-0.001656838+0.001658347i,0.0007699523+0.00180062i,0.0005662961-0.0009462714i,-4.666462e-05-0.001528114i,-0.000884865-0.00132331i,-0.000682096+0.0006830597i,0.001148978+0.0002362871i,0.001483067-0.001636466i,0.00115185-0.0007043976i,0+0i,-0.0004661603-0.0004920231i,0.0001434293-0.0003312061i,0.0005534039-9.151977e-05i,-1.923784e-05-0.0001662976i,-9.760833e-05-0.0007277163i,-0.0005824934+0.0004531981i
9.048916e-05-0.0007498651i,0.0008705612+4.574703e-05i,-0.001098244+0.002371666i,-0.0008020113-0.0001594385i,0.0002349681-0.001198073i,-0.0005470547+0.0003526377i,-0.0006063558-0.0002421948i,-0.001295003-0.0004142525i,0.0007692979-0.001177772i,-3.324816e-05-0.001182422i,0.0007950343-0.0006017231i,-0.0006779621+0.0006216675i,-0.001007111-0.0007366441i,-0.001774108-0.002629326i,-0.0008721339-0.001849123i,0.001705895-0.002948609i,0.003590784-0.0006007444i,0.002430885+0.001665884i,3.862718e-05+0.00271052i,-0.002651229+0.001543014i,-0.002116599-5.696957e-05i,-0.0006214255-0.001308005i,0.0009275558-0.001244742i,0.002146377-0.0003745254i,0.003118298-0.0006178234i,0.001987754+0.0002089405i,0.002358171+0.0002320817i,0.001734774+4.357492e-05i,-0.0001670761-0.001783457i,-0.001646346-0.001085573i,-0.00224029-0.0002357911i,-0.0009245027+0.002255802i,0.001152952+0.002029983i,0.002589605-0.0006601215i,0.001677571-0.001594107i,-0.001044006-0.001653535i,-0.0007716832+0.0005658392i,-0.0002601822+0.0009671094i,-0.000243414-0.0004695568i,-0.0004364203-0.001269097i,0.000470494-0.001654153i,-0.0007125222+2.397358e-05i,0.0001819499+0.00103778i,-0.0007476979-0.0004687948i,-0.001021869-0.001086711i,3.692013e-05-0.001863435i,0.0009780563+0.0001703511i,0.0003435736-9.459586e-05i,0.000136119+0.000992403i,0.001099487-0.0009330281i,-7.804129e-05-0.001011333i
3.778886e-05+0.0004341742i,-0.0001144821+0.001032426i,0.0001416715-0.0009643905i,0.0001465595+0.0001004713i,-0.0009817616+0.000979903i,-0.0008641089+0.0003444917i,-0.0003673536-0.001376269i,0.001171575-6.929274e-05i,0.0004565563-0.0006370405i,-0.0003733673+0.0004797542i,-0.0006623465+0.0008677343i,-0.0007736631-0.0005708889i,-0.0002389252-0.0006342257i,0.0004813666-0.001190395i,0.001761525-0.000254538i,0.001799522+0.002168218i,-0.0003013399+0.002819802i,-0.003578098+0.001626868i,-0.003078172-0.001782331i,-0.001434871-0.003765014i,0.001337889-0.002229355i,0.002283676-0.0002528709i,0.002068702+0.001647544i,0.0007261192+0.003735646i,-0.0005349555+0.001882918i,-0.001427611+0.002092953i,-0.001933445+0.001862257i,-0.001787153+0.001525234i,0.001885114+0.0004996604i,0.002074073-0.001761791i,0.000651095-0.003187316i,-0.002027164-0.001177173i,-0.002762947+0.0007402715i,-0.001915164+0.002364776i,0.003138131+0.0009546941i,0.002486561-0.001962758i,0.0008879591-0.002249369i,-0.001167732-0.0008101353i,-0.0004179982+0.0001239916i,0.001881157+0.0009749601i,6.630742e-05-0.0003135627i,-0.0004737707-0.000738262i,-0.0008808585+0.0006834171i,0.0004579848+0.001011673i,0.0003556329-0.0002209288i,-0.0002987401-0.0005857912i,-0.0006979533-0.0004849896i,-0.001466034-0.0008669326i,0.0001814159+0.0004826709i,0.0001890463+0.0003719338i,-0.0002734046-0.001171181i
0.0001490715-0.001133505i,-0.0004257795-4.056833e-05i,-0.0009168262+4.034598e-05i,0.0003839384+0.0002593239i,-0.0001838461+0.0003334178i,-0.0003147568-0.0009637104i,0.002025768-1.251599e-05i,0.0008505995+0.001584285i,-0.0001095462+0.0006614648i,3.01214e-06-0.000152858i,-0.000191731+0.0003968613i,-4.615255e-05-0.001032041i,0.001631096-0.0005181581i,0.00170515+0.001511185i,7.141069e-06+0.001410037i,-0.002633552+0.001121844i,-0.001530706-0.0007732896i,-0.0007685493-0.003191066i,0.001983102-0.002898307i,0.005084379-0.0001011002i,0.002206633+0.002399044i,-0.0009844769+0.00396904i,-0.002459368+0.003732709i,-0.003301072+0.001148546i,-0.002035649+9.820559e-05i,-0.002317711-0.00162544i,-0.003176036-0.000607343i,-0.005044366-0.001115734i,-0.001668249+0.001813673i,0.0006736257+0.002846692i,0.00336877+0.000686879i,0.002182896-0.002959229i,-0.0006171966-0.00234337i,-0.002639245-0.0002703932i,-0.001340388+0.002274559i,0.0009297228+0.0033908i,0.001247437-0.000435851i,0.001150197-0.0004369054i,-0.0001040422-0.0009764057i,-0.000308319-0.0001760336i,0.0001742128+0.0009547667i,-0.000193809+0.0007089342i,-0.0005682482-0.0009643476i,0.0002193412+0.0002696011i,0.0001601725-0.0009949401i,-0.0003861026+0.000196746i,0.0002372917-0.000544539i,0.000465365-0.001359032i,-0.001572048-0.0001864469i,0.000431141+0.001086954i,0.003050012-0.0007149291i
